Year,State,Malaria Prevalence (%),Maternal Mortality (per 100k),Immunization Coverage (%),Health Expenditure (% of GDP),Life Expectancy (Years)
2021,Anambra,24.27,678.8,81.5,5.64,57.6
2022,Anambra,22.86,517.2,78.4,3.34,58.6
2023,Anambra,25.84,561.9,75.9,5.91,59.7
2010,Delta,30.49,506.7,60.0,5.51,48.6
2011,Delta,29.36,670.5,61.9,5.8,49.1
2012,Delta,28.88,629.8,62.4,4.91,49.5
2013,Delta,28.68,498.8,64.4,5.66,50.1
2014,Delta,25.76,569.5,66.3,4.34,50.6
2015,Delta,27.74,646.7,66.5,3.98,51.6
2016,Delta,26.39,555.6,69.1,5.59,51.2
2017,Delta,21.78,828.2,69.2,4.18,51.5
2018,Delta,19.83,422.2,70.5,5.04,52.4
2019,Delta,22.06,670.0,70.8,4.29,52.7
2020,Delta,16.48,530.4,78.7,4.93,51.7
2021,Delta,17.02,417.8,82.0,5.62,52.9
2022,Delta,21.4,590.7,76.3,4.12,53.4
2023,Delta,15.91,482.1,84.0,5.44,54.4
